"Report Written:","Wednesday, November 30, 2022"
"Project Path:","F:\Documents\GitHub\designSpark\boards\carte_etudiant_frdmkl25z\proj_etud_BUT2.prj"
"Design Path:","F:\Documents\GitHub\designSpark\boards\carte_etudiant_frdmkl25z\proj_etud_BUT2.pcb"
"Design Title:",
"Created:","05/02/2021 15:59:06"
"Last Saved:","05/01/2022 19:15:11"
"Editing Time:","2797 min"
"Units:","mm (precision 2)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"R20","1","1k","","DSC","","","","",""
"R21","1","1k","","DSC","","","","",""
"R22","1","1k","","DSC","","","","",""
"R23","1","1k","","DSC","","","","",""
"R24","1","1k","","DSC","","","","",""
"R25","1","1k","","DSC","","","","",""
"D1","1","1N4004","","DSC","","","","",""
"C4","1","1uF","","DSC","","","","",""
"R6","1","2k7","","DSC","","","","",""
"R7","1","2k7","","DSC","","","","",""
"R8","1","2k7","","DSC","","","","",""
"R12","1","10k","","DSC","","","","",""
"R13","1","10k","","DSC","","","","",""
"R1","1","10k","","DSC","","","","",""
"R2","1","10k","","DSC","","","","",""
"C3","1","10uF_polarisé","","DSC","","","","",""
"C1","1","100nF","","DSC","","","","",""
"C2","1","100nF","","DSC","","","","",""
"R3","1","200_Ohm","","DSC","","","","",""
"R4","1","200_Ohm","","DSC","","","","",""
"R5","1","200_Ohm","","DSC","","","","",""
"R9","1","200_Ohm","","DSC","","","","",""
"R10","1","200_Ohm","","DSC","","","","",""
"R11","1","200_Ohm","","DSC","","","","",""
"R15","1","200_Ohm","","DSC","","","","",""
"R16","1","200_Ohm","","DSC","","","","",""
"R17","1","200_Ohm","","DSC","","","","",""
"R18","1","200_Ohm","","DSC","","","","",""
"R19","1","200_Ohm","","DSC","","","","",""
"AFF3","1","aff 7-SEGMENT-DISPLAYPTH","","7-SEGMENT-DISPLAY","","","","",""
"AFF2","1","aff 7-SEGMENT-DISPLAYPTH","","7-SEGMENT-DISPLAY","","","","",""
"AFF1","1","aff 7-SEGMENT-DISPLAYPTH","","7-SEGMENT-DISPLAY","","","","",""
"X2","1","CON Bornier 02Ps","","W237-132","","","","","WAGO SREW CLAMP"
"X1","1","CON Bornier 02Ps","","W237-132","","","","","WAGO SREW CLAMP"
"CONN1","1","CONN_SIL_2","","DIL","","","","","barrette secable"
"3V3","1","CONN_SIL_2","","DIL","","","","","barrette secable"
"CONN9","1","CONN_SIL_2","","DIL","","","","","barrette secable"
"CONN8","1","CONN_SIL_2","","DIL","","","","","barrette secable"
"CONN7","1","CONN_SIL_2","","DIL","","","","","barrette secable"
"ENTREE","1","CONN_SIL_2","","DIL","","","","","barrette secable"
"CONN6","1","CONN_SIL_2","","DIL","","","","","barrette secable"
"CONN2","1","CONN_SIL_2","","DIL","","","","","barrette secable"
"CONN3","1","CONN_SIL_2","","DIL","","","","","barrette secable"
"5V","1","CONN_SIL_2","","DIL","","","","","barrette secable"
"SV1","1","CON_GROVE_coudé","","S04P","","","","","GROVE CONNECTOR"
"SW3","1","DIP switch 4 DIL","","EDG-04","","","","","DIP SWITCH"
"U1","1","FRDM-KL25Z-ALL","","DSC","","","","",""
"LED3","1","LED 5MM GREEN","","LED_GREEN","","","","",""
"LED1","1","LED 5MM RED","","LED_RED","","","","",""
"LED2","1","LED 5MM YELLOW","","LED_YELLOW","","","","",""
"Vreg1","1","LM7805V-TO220","","DSC","","","","",""
"T3","1","MPS2907","","TO92","","","","",""
"T2","1","MPS2907","","TO92","","","","",""
"T1","1","MPS2907","","TO92","","","","",""
"R14","1","pot -RK11K111","","PT-RK11K111","","","","","POTENTIOMETER"
"SW4","1","SWITCH-MOMENTARY-2PTH","","TACTILE-PTH","","","","",""
"SW1","1","SWITCH-MOMENTARY-D6","","BP_D6","","","","",""
"SW2","1","SWITCH-MOMENTARY-D6","","BP_D6","","","","",""
"TP1","1","TESTPOINT","","TESTPOINT","Cannon ITT","","","","Testpoint Pin"
